S	I	R	q	free_birds
498160	1709	131	6	1703
497792	2044	164	13	2031
497295	2518	187	20	2498
496737	3029	234	27	3002
496113	3598	289	36	3563
495404	4252	344	170	4083
494601	4969	430	712	4260
493769	5698	533	1295	4419
492986	6357	657	1948	4451
492162	7055	783	2612	4513
491386	7673	941	3252	4544
490576	8337	1087	3889	4630
489702	9061	1237	4532	4777
488827	9767	1406	5195	4897
487955	10458	1587	5894	4985
487050	11156	1794	6533	5141
486087	11902	2011	7132	5402
485103	12694	2203	7769	5654
484068	13476	2456	8447	5909
483024	14248	2728	9151	6112
481980	15025	2995	9868	6318
480864	15844	3292	10580	6604
479657	16724	3619	11335	6934
478497	17524	3979	12072	7202
477255	18380	4365	12844	7504
475919	19339	4742	13631	7898
474632	20238	5130	14423	8229
473255	21226	5519	15250	8638
471870	22176	5954	16062	9042
470386	23239	6375	16980	9438
468882	24268	6850	17897	9837
467297	25347	7356	18840	10272
465668	26483	7849	19785	10758
464007	27584	8409	20713	11268
462242	28787	8971	21688	11844
460454	29997	9549	22674	12400
458614	31226	10160	23723	12948
456703	32501	10796	24822	13479
454744	33773	11483	25946	14025
452662	35192	12146	27083	14696
450546	36578	12876	28233	15350
448432	37934	13634	29426	15968
446203	39404	14393	30692	16583
443924	40910	15166	31921	17319
441611	42383	16006	33219	17994
439232	43861	16907	34535	18668
436707	45515	17778	35884	19489
434153	47160	18687	37243	20313
431513	48864	19623	38664	21109
428806	50579	20615	40074	21969
425955	52433	21612	41587	22900
423140	54237	22623	43169	23677
420221	56038	23741	44799	24482
417240	57868	24892	46382	25373
414318	59653	26029	47975	26222
411230	61502	27268	49665	27069
408111	63432	28457	51359	27962
404915	65426	29659	53126	28838
401801	67213	30986	54903	29624
398532	69137	32331	56645	30526
395215	70975	33810	58470	31389
391917	72876	35207	60304	32203
388478	74895	36627	62181	33146
384897	77076	38027	64071	34241
381325	79069	39606	66029	35153
377768	81055	41177	67950	36125
374160	83101	42739	69870	37092
370552	85100	44348	71871	37938
366742	87303	45955	73921	38977
363039	89297	47664	75988	39830
359238	91258	49504	78064	40734
355324	93334	51342	80181	41701
351490	95309	53201	82281	42571
347645	97183	55172	84464	43382
343689	99209	57102	86618	44320
339728	101165	59107	88820	45233
335757	103137	61106	91043	46115
331746	105075	63179	93196	47077
327634	107138	65228	95388	48093
323471	109177	67352	97617	49096
319415	110989	69596	99889	49840
315339	112786	71875	102198	50575
311206	114713	74081	104482	51440
307038	116683	76279	106831	52255
302888	118544	78568	109222	52996
298777	120256	80967	111528	53737
294656	121965	83379	113824	54491
290560	123663	85777	116145	55214
286444	125275	88281	118447	55914
282360	126809	90831	120794	56521
